ChEMBL_ID,Functional_Mechanism,SMILES,MW_Da,LogP,TPSA,HBD,HBA,DeltaG_kcal_mol,RSI_Score,DARS_Score,Dermal_500Da,Dermal_LogP
CHEMBL511458,Aim 2: ROS Scavenger Specialist,Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O,318.24,1.69,151.59,6,8,-6.7,5.656,37.9,PASS,PASS
CHEMBL247484,Aim 2: ROS Scavenger Specialist,O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,1.99,131.36,5,7,-6.7,4.963,33.25,PASS,PASS
CHEMBL151,Aim 2: ROS Scavenger Specialist,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,286.24,2.28,111.13,4,6,-6.7,4.192,28.09,PASS,PASS
CHEMBL3896909,Aim 2: ROS Scavenger Specialist,Oc1cc(O)c2c(=S)cc(-c3ccc(O)c(O)c3)oc2c1,302.31,3.65,94.06,4,6,-6.7,3.969,26.59,PASS,PASS
CHEMBL4847220,Aim 3: Dual-Action Lead,O=c1cc(-c2cccc(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc34)c2)oc2cc(O)cc(O)c12,538.46,5.13,181.8,6,10,-7.9,3.343,26.41,FAIL,CHECK
CHEMBL1779470,Aim 3: Dual-Action Lead,O=c1cc(-c2ccc(O)c(-c3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ccc3O)c2)oc2cc(O)cc(O)c12,538.46,5.13,181.8,6,10,-7.9,3.343,26.41,FAIL,CHECK
CHEMBL469752,Aim 2: ROS Scavenger Specialist,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,316.27,2.29,120.36,4,7,-6.7,3.794,25.42,PASS,PASS
CHEMBL459583,Aim 2: ROS Scavenger Specialist,COc1cc(/C=C/C(=O)c2cc(O)c(O)c(O)c2)cc(OC)c1O,332.31,2.42,116.45,4,7,-6.3,3.611,22.75,PASS,PASS
CHEMBL243677,Aim 2: ROS Scavenger Specialist,O=c1cc(-c2ccc(O)c(O)c2)oc2cccc(O)c12,270.24,2.58,90.9,3,5,-6.7,3.33,22.31,PASS,PASS
CHEMBL457821,Aim 2: ROS Scavenger Specialist,O=c1cc(-c2cccc(O)c2)oc2cc(O)cc(O)c12,270.24,2.58,90.9,3,5,-6.7,3.33,22.31,PASS,PASS
CHEMBL28,Aim 2: ROS Scavenger Specialist,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,270.24,2.58,90.9,3,5,-6.7,3.33,22.31,PASS,PASS
