ChEMBL_ID,Compound_Name,SMILES,Class
REF_AMIFOSTINE,Amifostine,NCCCSCP(=O)(O)O,Thiol_Prodrug
REF_WR1065,WR-1065,NCCCS,Free_Thiol
REF_TROLOX,Trolox,Cc1c(C)c2c(c(C)c1O)CCC(O)(C(=O)O)O2,Phenolic_Antioxidant
REF_ASCORBIC_ACID,Ascorbic_Acid,O=C1OC(C(O)CO)C(O)=C1O,Enediol_Antioxidant
REF_EGCG,EGCG,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Polyphenol
REF_HOECHST33258,Hoechst_33258,CN1CCN(c2ccc3c(c2)C2=NC(c4ccc(O)cc4)=CC2=N3)CC1,MGB_Bisbenzimidazole
REF_DAPI,DAPI,N=C(N)c1ccc(-c2nc3cc(C(=N)N)ccc3[nH]2)cc1,MGB_Bisamidine
REF_EBSELEN,Ebselen,O=c1c2ccccc2[se]n1-c1ccccc1,Organoselenium
REF_TEMPOL,Tempol,CC1(C)CC(O)CC(C)(C)N1[O],Nitroxide_Radical_Scavenger
REF_NETROPSIN,Netropsin,N=C(N)CCNC(=O)C1=NCC(NC(=O)C2=NCC(NC(=O)CC(=N)N)=C2)=C1,MGB_Polyamide
REF_DISTAMYCIN,Distamycin_A,CNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)n(C)c3)n(C)c2)n(C)c1,MGB_Polyamide
REF_PENTAMIDINE,Pentamidine,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,MGB_Diamidine
CHEMBL446,SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,DNA_MGB_Intercalator
CHEMBL23013,PROPAMIDINE,N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2)cc1,DNA_MGB_Intercalator
CHEMBL25105,HEXAMIDINE,N=C(N)c1ccc(OCCCCCCOc2ccc(C(=N)N)cc2)cc1,DNA_MGB_Intercalator
CHEMBL24057,FURAMIDINE,N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)o2)cc1,DNA_MGB_Intercalator
CHEMBL30044,DIBROMPROPAMIDINE,N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2Br)c(Br)c1,DNA_MGB_Intercalator
CHEMBL35241,DIMINAZENE,N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1,DNA_MGB_Intercalator
CHEMBL448416,LIDAMIDINE,CNC(=N)NC(=O)Nc1c(C)cccc1C,DNA_MGB_Intercalator
CHEMBL319669,PAFURAMIDINE,CONC(=N)c1ccc(-c2ccc(-c3ccc(C(=N)NOC)cc3)o2)cc1,DNA_MGB_Intercalator
CHEMBL216318,CHEMBL216318,N=C(N)N1CCCCC1.O=S(O)O,DNA_MGB_Intercalator
CHEMBL142304,STILBAMIDINE,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2)cc1,DNA_MGB_Intercalator
CHEMBL1301,HYDROXYSTILBAMIDINE,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,DNA_MGB_Intercalator
CHEMBL361506,PENTAMIDINE ISETHIONATE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,DNA_MGB_Intercalator
CHEMBL1539,SULFADOXINE,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,DNA_MGB_Intercalator
